,Symbol,Date,Close,High,Low,Open,Volume,engulfing,hammer,inverse_hammer,piercing,morning_star,3adv_white_soldiers,hanging_man,shooting_star,evening_star,evening_doji_star,three_black_crows,dark_cloud_cover,doji,spinning_top,rising_falling_three_methods,Adj Close
14396,TMO,1/15/2025,551.4699707,563.8099976,544.0599976,557.8800049,3251300,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,
14685,TRV,1/15/2025,239.9799957,242.1799927,239.6300049,240.1300049,1481100,0,0,0,0,0,0,0,-100,0,0,0,0,100,-100,0,
14804,TSN,1/15/2025,55.75999832,55.93000031,55.27999878,55.81999969,1663000,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
14583,TTD,1/15/2025,119.6800003,120.8000031,118.0100021,120.7200012,3693600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15161,UXIN,1/15/2025,4.510000229,4.699999809,4.400000095,4.400000095,34000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
15501,VOD,1/15/2025,8.479999542,8.489999771,8.399999619,8.449999809,7934500,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15994,WDAY,1/15/2025,248.5700073,251.1999969,245.2599945,251.1999969,3172800,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15756,WDC,1/15/2025,64.62999725,65.76000214,64,64.05999756,5006900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
15960,WDS,1/15/2025,16.26000023,16.28000069,16.05999947,16.25,749600,0,0,0,0,0,0,-100,0,0,0,0,0,100,100,0,
15909,WIT,1/15/2025,3.440000057,3.450000048,3.390000105,3.450000048,4315700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
15841,WPM,1/15/2025,58.13999939,58.16999817,56.43000031,57.79000092,1885000,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
16147,YUM,1/15/2025,125.7699966,126.4599991,124.5299988,126.4599991,1729700,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
353,ZKH,1/15/2025,3.50999999,3.900000095,3.5,3.579999924,78000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
16317,ZURVY,1/15/2025,29.57999992,29.60000038,29.27000046,29.59000015,136200,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
914,ADI,1/14/2025,214.6499939,214.8300018,211.5399933,213.1600037,1634600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1492,ADP,1/14/2025,291.6900024,291.8699951,287.4700012,290.2999878,2321600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1458,ADSK,1/14/2025,286.8699951,289.3099976,284.8200073,285.0700073,1137600,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
336,AKAM,1/14/2025,90.58000183,91.41000366,89.66000366,89.87999725,1188900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
149,AKTX,1/14/2025,1.149999976,1.190000057,1.131000042,1.131000042,13800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
132,AMD,1/14/2025,116.0899963,118.6600037,114.5,118,37005300,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
1254,ANET,1/14/2025,114.9100037,115.1999969,112.7799988,114.6100006,6419500,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,0,
982,ANSS,1/14/2025,339.5799866,340.0599976,336.1400146,338.9899902,252100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1135,APTV,1/14/2025,61.47000122,61.50999832,60.65999985,61.31999969,2191900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
10808,ATEYY,1/14/2025,59.61000061,60.52000046,59.43999863,60,124700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
744,AXP,1/14/2025,300.3599854,300.5400085,296.730011,299.6000061,2370900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
